% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.011	1	8	102	2	17	26	1836	0	0	0
1.011	1	8	102	2	17	26	1836	0	0	1
1.011	3	18	102	2	2	26	1836	0	0	0
1.011	3	18	102	2	2	26	1836	0	0	1
1.012	1	14	102	3	2	24	1620	0	0	0
1.012	1	14	102	3	2	24	1620	0	0	1
1.012	3	21	102	3	15	26	1836	0	0	0
1.012	3	21	102	3	15	26	1836	0	0	1
1.013	1	12	102	4	4	24	1620	0	0	0
1.013	1	12	102	4	4	24	1620	0	0	1
1.013	3	25	102	4	4	24	1620	0	0	0
1.013	3	25	102	4	4	24	1620	0	0	1
1.014	1	1	102	5	12	24	1620	0	0	0
1.014	1	1	102	5	12	24	1620	0	0	1
1.014	3	20	102	5	29	26	1836	0	0	0
1.014	3	20	102	5	29	26	1836	0	0	1
1.015	1	3	102	6	14	24	1620	0	0	0
1.015	1	3	102	6	14	24	1620	0	0	1
1.015	3	28	102	6	26	24	1620	0	0	0
1.015	3	28	102	6	26	24	1620	0	0	1
1.016	1	9	102	7	26	26	1836	0	0	0
1.016	1	9	102	7	26	26	1836	0	0	1
1.016	3	19	102	7	1	22	1383	0	0	0
1.016	3	19	102	7	1	22	1383	0	0	1
1.017	1	4	102	8	18	24	1620	0	0	0
1.017	1	4	102	8	18	24	1620	0	0	1
1.017	3	29	102	8	3	22	1383	0	0	0
1.017	3	29	102	8	3	22	1383	0	0	1
1.018	1	8	102	9	17	26	1836	0	0	0
1.018	1	6	102	9	23	24	1620	0	0	1
1.018	3	18	102	9	2	26	1836	0	0	0
1.018	3	23	102	9	30	24	1620	0	0	1
1.019	1	14	102	10	2	24	1620	0	0	0
1.019	1	11	102	10	24	24	1620	0	0	1
1.019	3	21	102	10	15	26	1836	0	0	0
1.019	3	17	102	10	14	22	1383	0	0	1
1.02	1	12	103	1	4	24	1620	0	0	0
1.02	1	5	103	1	15	22	1383	0	0	1
1.02	3	25	103	1	4	24	1620	0	0	0
1.02	3	26	103	1	16	22	1383	0	0	1
1.021	1	1	103	2	12	24	1620	0	0	0
1.021	1	13	103	2	16	22	1383	0	0	1
1.021	3	20	103	2	29	26	1836	0	0	0
1.021	3	27	103	2	24	22	1383	0	0	1
1.022	1	3	103	3	14	24	1620	0	0	0
1.022	1	2	103	3	1	20	1191	0	0	1
1.022	3	28	103	3	26	24	1620	0	0	0
1.022	3	16	103	3	17	20	1191	0	0	1
1.023	1	9	103	4	26	26	1836	0	0	0
1.023	1	10	103	4	3	20	1191	0	0	1
1.023	3	19	103	4	1	22	1383	0	0	0
1.023	3	24	103	4	23	20	1191	0	0	1
1.024	1	4	103	5	18	24	1620	0	0	0
1.024	1	15	103	5	13	20	1191	0	0	1
1.024	3	29	103	5	3	22	1383	0	0	0
1.024	3	30	103	5	25	20	1191	0	0	1
1.025	1	11	103	6	24	14	775	0	0	0
1.025	1	6	103	6	23	24	1620	0	0	1
1.025	3	26	103	6	16	14	775	0	0	0
1.025	3	23	103	6	30	24	1620	0	0	1
1.026	1	10	103	7	3	12	597	0	0	0
1.026	1	11	103	7	24	24	1620	0	0	1
1.026	3	27	103	7	24	14	775	0	0	0
1.026	3	17	103	7	14	22	1383	0	0	1
1.027	1	15	103	8	13	12	597	0	0	0
1.027	1	5	103	8	15	22	1383	0	0	1
1.027	3	30	103	8	25	12	597	0	0	0
1.027	3	26	103	8	16	22	1383	0	0	1
1.028	1	13	103	9	16	12	597	0	0	0
1.028	1	13	103	9	16	22	1383	0	0	1
1.028	3	23	103	9	30	12	597	0	0	0
1.028	3	27	103	9	24	22	1383	0	0	1
1.029	1	6	103	10	23	12	597	0	0	0
1.029	1	2	103	10	1	20	1191	0	0	1
1.029	3	17	103	10	14	10	469	0	0	0
1.029	3	16	103	10	17	20	1191	0	0	1
1.03	1	5	104	1	15	10	469	0	0	0
1.03	1	10	104	1	3	20	1191	0	0	1
1.03	3	16	104	1	17	8	421	0	0	0
1.03	3	24	104	1	23	20	1191	0	0	1
1.031	1	2	104	2	1	8	421	0	0	0
1.031	1	15	104	2	13	20	1191	0	0	1
1.031	3	24	104	2	23	8	421	0	0	0
1.031	3	30	104	2	25	20	1191	0	0	1
1.032	1	7	104	3	25	8	421	0	0	0
1.032	1	7	104	3	25	8	421	0	0	1
1.032	3	22	104	3	28	6	309	0	0	0
1.032	3	22	104	3	28	6	309	0	0	1
1.036	1	2	104	7	1	20	1191	0	0	1
1.036	3	16	104	7	17	20	1191	0	0	1
1.037	3	24	104	8	23	20	1191	0	0	1
1.053	1	8	106	4	17	26	1836	0	0	0
1.053	1	8	106	4	17	26	1836	0	0	1
1.053	3	18	106	4	2	26	1836	0	0	0
1.053	3	18	106	4	2	26	1836	0	0	1
1.054	1	14	106	5	2	24	1620	0	0	0
1.054	1	14	106	5	2	24	1620	0	0	1
1.054	3	21	106	5	15	26	1836	0	0	0
1.054	3	21	106	5	15	26	1836	0	0	1
1.055	1	12	106	6	4	24	1620	0	0	0
