% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.026	1	8	103	7	17	8	437	0
1.026	1	8	103	7	17	8	437	1
1.026	3	18	103	7	2	10	549	0
1.026	3	18	103	7	2	10	549	1
1.027	1	14	103	8	2	6	325	0
1.027	1	14	103	8	2	6	325	1
1.027	3	21	103	8	15	10	549	0
1.027	3	21	103	8	15	10	549	1
1.028	1	12	103	9	4	12	621	0
1.028	1	12	103	9	4	12	621	1
1.028	3	25	103	9	4	8	437	0
1.028	3	25	103	9	4	8	437	1
1.029	1	1	103	10	12	28	2292	0
1.029	1	1	103	10	12	28	2292	1
1.029	3	20	103	10	29	28	2292	0
1.029	3	20	103	10	29	28	2292	1
1.03	1	3	104	1	14	8	437	0
1.03	1	3	104	1	14	8	437	1
1.03	3	28	104	1	26	10	549	0
1.03	3	28	104	1	26	10	549	1
1.031	1	9	104	2	26	8	437	0
1.031	1	9	104	2	26	8	437	1
1.031	3	19	104	2	1	4	225	0
1.031	3	19	104	2	1	4	225	1
1.032	1	4	104	3	18	28	2292	0
1.032	1	4	104	3	18	28	2292	1
1.032	3	29	104	3	3	10	549	0
1.032	3	29	104	3	3	10	549	1
1.033	1	6	104	4	23	8	437	0
1.033	1	6	104	4	23	8	437	1
1.033	3	23	104	4	30	28	2292	0
1.033	3	23	104	4	30	28	2292	1
1.034	1	11	104	5	24	12	621	0
1.034	1	11	104	5	24	12	621	1
1.034	3	17	104	5	14	6	325	0
1.034	3	17	104	5	14	6	325	1
1.035	1	5	104	6	15	6	325	0
1.035	1	5	104	6	15	6	325	1
1.035	3	26	104	6	16	8	437	0
1.035	3	26	104	6	16	8	437	1
1.036	1	1	104	7	12	28	2292	0
1.036	1	13	104	7	16	8	437	1
1.036	3	20	104	7	29	28	2292	0
1.036	3	27	104	7	24	8	437	1
1.037	1	13	104	8	16	8	437	0
1.037	3	27	104	8	24	8	437	0
1.038	1	10	104	9	3	8	437	0
1.038	1	10	104	9	3	8	437	1
1.039	1	4	104	10	18	28	2292	0
