% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1032	1	8	17	0	8	437	0	1	1	0
1032	3	18	2	0	10	549	0	1	1	0
1033	1	14	2	0	6	325	0	1	1	0
1033	3	21	15	0	10	549	0	1	1	0
1034	1	12	4	0	12	621	0	1	1	0
1034	3	25	4	0	8	437	0	1	1	0
1035	1	1	12	0	28	2292	0	1	0	0
1035	3	20	29	0	28	2292	0	1	0	0
1036	1	3	14	0	8	437	0	1	1	0
1036	3	28	26	0	10	549	0	1	1	0
1037	1	9	26	0	8	437	0	1	1	0
1037	3	19	1	0	4	225	0	1	1	0
1038	1	4	18	0	28	2292	0	1	0	0
1038	3	29	3	0	10	549	0	1	1	0
1039	1	6	23	0	8	437	0	1	1	0
1039	3	23	30	0	28	2292	0	1	0	0
1040	1	11	24	0	12	621	0	1	1	0
1040	3	17	14	0	6	325	0	1	1	0
1041	1	5	15	0	6	325	0	1	1	0
1041	3	26	16	0	8	437	0	1	1	0
1042	1	1	12	0	28	2292	1	0	0	0
1042	2	13	16	0	8	437	0	1	1	1
1042	3	20	29	0	28	2292	1	0	0	0
1042	4	27	24	0	8	437	0	1	1	1
1044	1	10	3	0	8	437	0	1	1	0
1045	1	4	18	0	28	2292	1	0	1	0
1045	2	15	13	0	28	2292	0	1	1	1
1045	3	30	25	0	4	225	0	1	1	0
1046	1	15	13	0	28	1095	0	1	0	0
1046	1	7	25	0	8	209	0	1	1	0
1046	3	23	30	0	28	2292	1	0	1	0
1046	4	22	28	0	28	2292	0	1	1	1
1049	1	1	12	0	28	2292	2	0	1	0
1049	3	20	29	0	28	2292	2	0	1	0
1050	1	2	1	0	8	437	0	1	1	0
1050	3	16	17	0	4	225	0	1	1	0
1051	3	24	23	0	4	225	0	1	1	0
1073	3	29	3	0	10	549	0	1	1	0
1074	1	8	17	0	8	209	0	1	1	0
1074	1	6	23	0	8	209	0	1	1	0
1074	3	18	2	0	10	549	0	1	1	0
1075	1	14	2	0	6	325	0	1	1	0
1075	3	21	15	0	10	549	0	1	1	0
1076	1	12	4	0	12	621	0	1	1	0
1076	3	25	4	0	8	437	0	1	1	0
1078	1	3	14	0	8	437	0	1	1	0
1078	3	28	26	0	10	549	0	1	1	0
1079	1	10	3	0	8	209	0	1	1	0
1079	1	9	26	0	8	209	0	1	1	0
1079	3	19	1	0	4	225	0	1	1	0
1081	1	7	25	0	8	437	0	1	1	0
1081	3	22	28	0	28	2292	0	1	0	0
1082	1	11	24	0	12	621	0	1	1	0
1082	3	17	14	0	6	325	0	1	1	0
1083	1	5	15	0	6	325	0	1	1	0
1083	3	26	16	0	8	437	0	1	1	0
1084	1	13	16	0	8	437	0	1	1	0
1084	3	27	24	0	8	437	0	1	1	0
1085	1	15	13	0	28	2292	0	1	0	0
1085	3	16	17	0	4	105	0	1	1	0
1085	3	20	29	0	28	1095	0	1	0	0
1086	3	23	30	0	28	2292	0	1	1	0
1087	1	4	18	0	28	2292	0	1	0	0
1087	3	30	25	0	4	225	0	1	1	0
1088	3	22	28	0	28	2292	1	0	1	0
1092	1	15	13	0	28	2292	1	0	0	0
1092	3	20	29	0	28	1095	1	0	1	0
1093	1	2	1	0	8	209	0	1	1	0
1093	1	1	12	0	28	1095	0	1	1	0
1094	1	4	18	0	28	2292	1	0	1	0
1099	1	15	13	0	28	2292	2	0	1	0
1100	3	24	23	0	4	225	0	1	1	0
1108	3	29	3	0	10	549	0	1	1	0
1109	1	8	17	0	8	437	0	1	1	0
1111	1	12	4	0	12	621	0	1	1	0
1111	3	25	4	0	8	437	0	1	1	0
1114	1	9	26	0	8	437	0	1	1	0
1116	1	6	23	0	8	209	0	1	1	0
1116	1	7	25	0	8	209	0	1	1	0
1116	3	18	2	0	10	549	0	1	1	0
1117	1	14	2	0	6	325	0	1	1	0
1117	3	21	15	0	10	549	0	1	1	0
1120	1	3	14	0	8	437	0	1	1	0
1120	3	16	17	0	4	105	0	1	1	0
1120	3	28	26	0	10	261	0	1	1	0
1121	1	10	3	0	8	437	0	1	1	0
1121	3	19	1	0	4	105	0	1	1	0
1121	3	23	30	0	28	1095	0	1	0	0
1122	3	30	25	0	4	225	0	1	1	0
1123	3	22	28	0	28	2292	0	1	1	0
1124	1	11	24	0	12	621	0	1	1	0
1124	3	17	14	0	6	325	0	1	1	0
1125	1	5	15	0	6	325	0	1	1	0
1125	3	26	16	0	8	437	0	1	1	0
1126	1	13	16	0	8	437	0	1	1	0
1126	3	27	24	0	8	437	0	1	1	0
1127	3	20	29	0	28	2292	0	1	1	0
1128	1	1	12	0	28	2292	0	1	0	0
1128	3	23	30	0	28	1095	1	0	0	0
1129	1	4	18	0	28	2292	0	1	1	0
1130	1	2	1	0	8	437	0	1	1	0
1134	1	15	13	0	28	2292	0	1	1	0
1135	1	1	12	0	28	2292	1	0	1	0
1135	3	24	23	0	4	105	0	1	1	0
1135	3	23	30	0	28	1095	2	0	1	0
1143	3	29	3	0	10	549	0	1	1	0
1144	1	8	17	0	8	437	0	1	1	0
1149	1	9	26	0	8	437	0	1	1	0
1151	1	7	25	0	8	437	0	1	1	0
1152	1	14	2	0	6	325	0	1	1	0
1153	1	12	4	0	12	621	0	1	1	0
1153	3	25	4	0	8	437	0	1	1	0
1157	3	30	25	0	4	225	0	1	1	0
1158	1	6	23	0	8	437	0	1	1	0
1158	3	18	2	0	10	261	0	1	1	0
1158	3	22	28	0	28	1095	0	1	0	0
1159	3	21	15	0	10	549	0	1	1	0
1161	1	13	16	0	8	437	0	1	1	0
1161	3	27	24	0	8	437	0	1	1	0
1162	1	3	14	0	8	437	0	1	1	0
1162	3	28	26	0	10	549	0	1	1	0
1163	1	10	3	0	8	437	0	1	1	0
1163	3	19	1	0	4	225	0	1	1	0
1164	1	4	18	0	28	2292	0	1	0	0
1164	3	20	29	0	28	2292	0	1	0	0
1165	3	22	28	0	28	1095	1	0	1	0
1166	1	11	24	0	12	621	0	1	1	0
1166	3	17	14	0	6	325	0	1	1	0
1167	1	5	15	0	6	325	0	1	1	0
1167	3	26	16	0	8	437	0	1	1	0
1169	1	15	13	0	28	2292	0	1	0	0
1169	3	16	17	0	4	225	0	1	1	0
1170	3	23	30	0	28	2292	0	1	1	0
1171	1	4	18	0	28	2292	1	0	0	0
1171	3	20	29	0	28	2292	1	0	0	0
1173	1	1	12	0	28	2292	0	1	1	0
1174	3	24	23	0	4	225	0	1	1	0
1176	1	15	13	0	28	2292	1	0	1	0
1178	1	4	18	0	28	2292	2	0	1	0
1178	3	20	29	0	28	2292	2	0	1	0
1178	4	29	3	0	10	549	0	1	1	1
1179	1	8	17	0	8	437	0	1	1	0
1181	1	2	1	0	8	437	0	1	1	0
1184	1	9	26	0	8	437	0	1	1	0
1186	1	7	25	0	8	437	0	1	1	0
1187	1	14	2	0	6	325	0	1	1	0
1192	3	30	25	0	4	225	0	1	1	0
1194	3	21	15	0	10	549	0	1	1	0
1195	1	12	4	0	12	621	0	1	1	0
1195	3	25	4	0	8	437	0	1	1	0
1200	1	6	23	0	8	437	0	1	1	0
1200	3	18	2	0	10	261	0	1	1	0
1200	3	22	28	0	28	1095	0	1	0	0
1201	1	11	24	0	12	621	0	1	1	0
1201	3	17	14	0	6	325	0	1	1	0
1202	3	26	16	0	8	437	0	1	1	0
1203	1	13	16	0	8	437	0	1	1	0
1203	3	27	24	0	8	437	0	1	1	0
1204	1	3	14	0	8	437	0	1	1	0
1204	3	28	26	0	10	549	0	1	1	0
1205	1	10	3	0	8	437	0	1	1	0
1205	3	19	1	0	4	225	0	1	1	0
1206	3	23	30	0	28	2292	0	1	1	0
1207	3	16	17	0	4	69	0	1	1	0
1207	3	22	28	0	28	1095	1	0	1	0
1207	4	16	17	0	4	105	0	1	1	1
1207	4	23	30	0	28	1095	0	1	0	1
1208	1	1	12	0	28	1095	0	1	1	0
1208	1	11	24	0	12	301	0	1	0	0
1209	1	5	15	0	6	325	0	1	1	0
1211	1	15	13	0	28	2292	0	1	0	0
1211	3	24	23	0	4	225	0	1	1	0
