% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	2	1	5.69124	0
0.321	2	2	1	5.69124	1
0.321	3	19	1	2.48012	0
0.321	4	19	1	2.48012	1
0.322	1	14	2	3.40389	0
0.322	2	14	2	3.40389	1
0.322	3	18	2	7.72009	0
0.322	4	18	2	7.72009	1
0.323	1	10	3	4.80519	0
0.323	2	10	3	4.80519	1
0.323	3	29	3	8.81569	0
0.323	4	29	3	8.81569	1
0.324	1	12	4	10.942	0
0.324	2	12	4	10.942	1
0.324	3	25	4	5.25226	0
0.324	4	25	4	5.25226	1
0.332	1	1	12	1175.67	0
0.332	2	1	12	1175.67	1
0.333	1	15	13	506.253	0
0.333	2	15	13	506.253	1
0.334	1	3	14	6.73027	0
0.334	2	3	14	6.73027	1
0.334	3	17	14	3.25793	0
0.334	4	17	14	3.25793	1
0.335	1	5	15	3.05415	0
0.335	2	5	15	3.05415	1
0.335	3	21	15	8.82273	0
0.335	4	21	15	8.82273	1
0.336	1	13	16	6.79772	0
0.336	2	13	16	6.79772	1
0.336	3	26	16	5.52065	0
0.336	4	26	16	5.52065	1
0.337	1	8	17	4.95018	0
0.337	2	8	17	4.95018	1
0.337	3	16	17	2.65065	0
0.337	4	16	17	2.65065	1
0.338	1	4	18	1148.76	0
0.338	2	4	18	1148.76	1
0.343	1	6	23	5.0241	0
0.343	2	6	23	5.0241	1
0.343	3	24	23	2.67341	0
0.343	4	24	23	2.67341	1
0.344	1	11	24	10.7014	0
0.344	2	11	24	10.7014	1
0.344	3	27	24	6.33894	0
0.344	4	27	24	6.33894	1
0.345	1	7	25	5.92595	0
0.345	2	7	25	5.92595	1
0.345	3	30	25	1.80681	0
0.345	4	30	25	1.80681	1
0.346	1	9	26	6.45587	0
0.346	2	9	26	6.45587	1
0.346	3	28	26	7.68039	0
0.346	4	28	26	7.68039	1
0.348	3	22	28	535.982	0
0.348	4	22	28	535.982	1
0.349	3	20	29	1768.88	0
0.349	4	20	29	1768.88	1
0.35	3	23	30	1336.24	0
0.35	4	23	30	1336.24	1
0.401	1	2	1	5.61061	0
0.401	2	2	1	5.61061	1
0.401	3	19	1	2.47365	0
0.401	4	19	1	2.47365	1
0.402	1	14	2	3.37508	0
0.402	2	14	2	3.37508	1
0.402	3	18	2	7.68347	0
0.402	4	18	2	7.68347	1
0.403	1	10	3	4.91088	0
0.403	2	10	3	4.91088	1
0.403	3	29	3	8.63393	0
0.403	4	29	3	8.63393	1
0.404	1	12	4	11.0218	0
0.404	2	12	4	11.0218	1
0.404	3	25	4	5.31769	0
0.404	4	25	4	5.31769	1
0.412	1	1	12	1169.23	0
0.412	2	1	12	1169.23	1
0.413	1	15	13	509.505	0
0.413	2	15	13	509.505	1
0.414	1	3	14	6.69146	0
0.414	2	3	14	6.69146	1
0.414	3	17	14	3.23884	0
0.414	4	17	14	3.23884	1
0.415	1	5	15	3.11054	0
0.415	2	5	15	3.11054	1
0.415	3	21	15	8.86321	0
0.415	4	21	15	8.86321	1
0.416	1	13	16	6.77628	0
0.416	2	13	16	6.77628	1
0.416	3	26	16	5.56668	0
0.416	4	26	16	5.56668	1
0.417	1	8	17	4.86605	0
0.417	2	8	17	4.86605	1
0.417	3	16	17	2.64449	0
0.417	4	16	17	2.64449	1
0.418	1	4	18	1140.75	0
0.418	2	4	18	1140.75	1
0.423	1	6	23	5.07994	0
0.423	2	6	23	5.07994	1
0.423	3	24	23	2.67282	0
0.423	4	24	23	2.67282	1
0.424	1	11	24	10.6731	0
0.424	2	11	24	10.6731	1
0.424	3	27	24	6.37892	0
0.424	4	27	24	6.37892	1
0.425	1	7	25	6.00983	0
0.425	2	7	25	6.00983	1
0.425	3	30	25	1.78672	0
0.425	4	30	25	1.78672	1
0.426	1	9	26	6.41684	0
0.426	2	9	26	6.41684	1
0.426	3	28	26	7.63711	0
0.426	4	28	26	7.63711	1
0.428	3	22	28	531.399	0
0.428	4	22	28	531.399	1
0.429	3	20	29	1777.82	0
0.429	4	20	29	1777.82	1
0.43	3	23	30	1333.17	0
0.43	4	23	30	1333.17	1
0.481	1	2	1	5.61601	0
0.481	2	2	1	5.61601	1
0.481	3	19	1	2.48335	0
0.481	4	19	1	2.48335	1
0.482	1	14	2	3.39851	0
0.482	2	14	2	3.39851	1
0.482	3	18	2	7.72888	0
0.482	4	18	2	7.72888	1
0.483	1	10	3	5.00828	0
0.483	2	10	3	5.00828	1
0.483	3	29	3	8.47641	0
0.483	4	29	3	8.47641	1
0.484	1	12	4	11.0489	0
0.484	2	12	4	11.0489	1
0.484	3	25	4	5.42759	0
0.484	4	25	4	5.42759	1
0.492	1	1	12	1182.47	0
0.492	2	1	12	1182.47	1
0.493	1	15	13	503.324	0
0.493	2	15	13	503.324	1
0.494	1	3	14	6.65258	0
0.494	2	3	14	6.65258	1
