% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1032	1	8	17	0	8	437	0	1	0
1032	2	8	17	0	8	437	0	1	1
1032	3	18	2	0	10	549	0	1	0
1032	4	18	2	0	10	549	0	1	1
1033	1	14	2	0	6	325	0	1	0
1033	2	14	2	0	6	325	0	1	1
1033	3	21	15	0	10	549	0	1	0
1033	4	21	15	0	10	549	0	1	1
1034	1	12	4	0	12	621	0	1	0
1034	2	12	4	0	12	621	0	1	1
1034	3	25	4	0	8	437	0	1	0
1034	4	25	4	0	8	437	0	1	1
1035	1	1	12	0	28	2292	0	1	0
1035	2	1	12	0	28	2292	0	1	1
1035	3	20	29	0	28	2292	0	1	0
1035	4	20	29	0	28	2292	0	1	1
1036	1	3	14	0	8	437	0	1	0
1036	2	3	14	0	8	437	0	1	1
1036	3	28	26	0	10	549	0	1	0
1036	4	28	26	0	10	549	0	1	1
1037	1	9	26	0	8	437	0	1	0
1037	2	9	26	0	8	437	0	1	1
1037	3	19	1	0	4	225	0	1	0
1037	4	19	1	0	4	225	0	1	1
1038	1	4	18	0	28	2292	0	1	0
1038	2	4	18	0	28	2292	0	1	1
1038	3	29	3	0	10	549	0	1	0
1038	4	29	3	0	10	549	0	1	1
1039	1	6	23	0	8	437	0	1	0
1039	2	6	23	0	8	437	0	1	1
1039	3	23	30	0	28	2292	0	1	0
1039	4	23	30	0	28	2292	0	1	1
1040	1	11	24	0	12	621	0	1	0
1040	2	11	24	0	12	621	0	1	1
1040	3	17	14	0	6	325	0	1	0
1040	4	17	14	0	6	325	0	1	1
1041	1	5	15	0	6	325	0	1	0
1041	2	5	15	0	6	325	0	1	1
1041	3	26	16	0	8	437	0	1	0
1041	4	26	16	0	8	437	0	1	1
1042	1	1	12	0	28	2292	0	0	0
1042	2	13	16	0	8	437	0	1	1
1042	3	20	29	0	28	2292	0	0	0
1042	4	27	24	0	8	437	0	1	1
1043	1	13	16	0	8	437	0	1	0
1043	3	27	24	0	8	437	0	1	0
1044	1	10	3	0	8	437	0	1	0
1044	2	10	3	0	8	437	0	1	1
1045	1	4	18	0	28	2292	0	0	0
1045	2	15	13	0	28	2292	0	1	1
1045	3	30	25	0	4	225	0	1	0
1045	4	30	25	0	4	225	0	1	1
1046	1	7	25	0	8	209	0	1	0
1046	1	15	13	0	28	1095	0	1	0
1046	2	7	25	0	8	437	0	1	1
1046	3	23	30	0	28	2292	0	0	0
1046	4	22	28	0	28	2292	0	1	1
1047	3	22	28	0	28	2292	0	1	0
1049	1	1	12	0	28	2292	0	0	0
1049	3	20	29	0	28	2292	0	0	0
1050	1	2	1	0	8	437	0	1	0
1050	2	2	1	0	8	437	0	1	1
1050	3	16	17	0	4	225	0	1	0
1050	4	16	17	0	4	225	0	1	1
1051	3	24	23	0	4	225	0	1	0
1051	4	24	23	0	4	225	0	1	1
1073	3	29	3	0	10	549	0	1	0
1073	4	29	3	0	10	549	0	1	1
1074	1	6	23	0	8	209	0	1	0
1074	1	8	17	0	8	209	0	1	0
1074	2	8	17	0	8	209	0	1	1
1074	2	6	23	0	8	209	0	1	1
1074	3	18	2	0	10	549	0	1	0
1074	4	18	2	0	10	549	0	1	1
1075	1	14	2	0	6	325	0	1	0
1075	2	14	2	0	6	325	0	1	1
1075	3	21	15	0	10	549	0	1	0
1075	4	21	15	0	10	549	0	1	1
1076	1	12	4	0	12	621	0	1	0
1076	2	12	4	0	12	621	0	1	1
1076	3	25	4	0	8	437	0	1	0
1076	4	25	4	0	8	437	0	1	1
1078	1	3	14	0	8	437	0	1	0
1078	2	3	14	0	8	437	0	1	1
1078	3	28	26	0	10	549	0	1	0
1078	4	28	26	0	10	549	0	1	1
1079	1	9	26	0	8	209	0	1	0
1079	1	10	3	0	8	209	0	1	0
1079	2	10	3	0	8	209	0	1	1
1079	2	9	26	0	8	209	0	1	1
1079	3	19	1	0	4	225	0	1	0
1079	4	19	1	0	4	225	0	1	1
1081	1	7	25	0	8	437	0	1	0
1081	2	7	25	0	8	437	0	1	1
1081	3	22	28	0	28	2292	0	1	0
1081	4	22	28	0	28	2292	0	1	1
1082	1	11	24	0	12	621	0	1	0
1082	2	11	24	0	12	621	0	1	1
1082	3	17	14	0	6	325	0	1	0
1082	4	17	14	0	6	325	0	1	1
1083	1	5	15	0	6	325	0	1	0
1083	2	5	15	0	6	325	0	1	1
1083	3	26	16	0	8	437	0	1	0
1083	4	26	16	0	8	437	0	1	1
1084	1	13	16	0	8	437	0	1	0
1084	2	13	16	0	8	437	0	1	1
1084	3	27	24	0	8	437	0	1	0
1084	4	27	24	0	8	437	0	1	1
1085	1	15	13	0	28	2292	0	1	0
1085	2	15	13	0	28	2292	0	1	1
1085	3	16	17	0	4	105	0	1	0
1085	3	20	29	0	28	1095	0	1	0
1085	4	16	17	0	4	105	0	1	1
1085	4	20	29	0	28	1095	0	1	1
1086	3	23	30	0	28	2292	0	1	0
1086	4	23	30	0	28	2292	0	1	1
1087	1	4	18	0	28	2292	0	1	0
1087	2	4	18	0	28	2292	0	1	1
1087	3	30	25	0	4	225	0	1	0
1087	4	30	25	0	4	225	0	1	1
1088	3	22	28	0	28	2292	0	0	0
1092	1	15	13	0	28	2292	0	0	0
1092	3	20	29	0	28	1095	0	0	0
1093	1	1	12	0	28	1095	0	1	0
1093	1	2	1	0	8	209	0	1	0
1093	2	2	1	0	8	209	0	1	1
1093	2	1	12	0	28	1095	0	1	1
1094	1	4	18	0	28	2292	0	0	0
1099	1	15	13	0	28	2292	0	0	0
1100	3	24	23	0	4	225	0	1	0
1100	4	24	23	0	4	225	0	1	1
1108	3	29	3	0	10	549	0	1	0
1108	4	29	3	0	10	549	0	1	1
1109	1	8	17	0	8	437	0	1	0
1109	2	8	17	0	8	437	0	1	1
1111	1	12	4	0	12	621	0	1	0
1111	2	12	4	0	12	621	0	1	1
1111	3	25	4	0	8	437	0	1	0
1111	4	25	4	0	8	437	0	1	1
1114	1	9	26	0	8	437	0	1	0
1114	2	9	26	0	8	437	0	1	1
1116	1	6	23	0	8	209	0	1	0
